Imagen,Cluster,IoU,Ruta de salida
00291_3,8,0.2397,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00291_3_cluster8_iou0.24.png
00419_3,5,0.2717,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00419_3_cluster5_iou0.27.png
00070_3,4,0.0554,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00070_3_cluster4_iou0.06.png
00312_0,9,0.3134,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00312_0_cluster9_iou0.31.png
00293_1,3,0.2467,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00293_1_cluster3_iou0.25.png
00137_4,7,0.1292,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00137_4_cluster7_iou0.13.png
00236_4,7,0.2538,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00236_4_cluster7_iou0.25.png
00149_2,8,0.2421,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00149_2_cluster8_iou0.24.png
00371_3,3,0.3907,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00371_3_cluster3_iou0.39.png
00334_2,1,0.0578,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00334_2_cluster1_iou0.06.png
00334_3,4,0.0588,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00334_3_cluster4_iou0.06.png
00371_2,7,0.3959,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00371_2_cluster7_iou0.40.png
00312_1,5,0.367,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00312_1_cluster5_iou0.37.png
00357_1,3,0.1048,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00357_1_cluster3_iou0.10.png
00293_0,2,0.2376,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00293_0_cluster2_iou0.24.png
00419_2,3,0.2872,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00419_2_cluster3_iou0.29.png
00035_2,1,0.4856,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00035_2_cluster1_iou0.49.png
00149_3,7,0.2415,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00149_3_cluster7_iou0.24.png
00070_2,6,0.054,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00070_2_cluster6_iou0.05.png
